#param, sd.noise, populationlevel.r2, mean.r2.resampling, sd.r2.resampling, bs.r2, bs.sd, bs.lower, bs.upper
0.4 , 0.05 , 0.08459358 , 0.09211348 , 0.03900718 , 0.1441618 , 0.04442485 , 0.0693872 , 0.2349449 
0.4 , 0.05 , 0.08432897 , 0.09132525 , 0.02937261 , 0.04402398 , 0.02498423 , 0.008082998 , 0.09913945 
0.4 , 0.05 , 0.08496315 , 0.08957231 , 0.03510129 , 0.1175461 , 0.04466277 , 0.04355535 , 0.2150364 
0.4 , 0.05 , 0.08457263 , 0.0876428 , 0.03329431 , 0.02978232 , 0.015914 , 0.005363002 , 0.0646985 

0.5 , 0.05 , 0.1271369 , 0.1276596 , 0.03565519 , 0.09062851 , 0.03076109 , 0.03605213 , 0.1569624 
0.5 , 0.05 , 0.1271197 , 0.1325259 , 0.04479628 , 0.1458215 , 0.03731294 , 0.08385491 , 0.2258259 
0.5 , 0.05 , 0.1266268 , 0.1245511 , 0.04316829 , 0.06322281 , 0.02903897 , 0.01854496 , 0.1276243 
0.5 , 0.05 , 0.1268002 , 0.1318003 , 0.0472449 , 0.1283657 , 0.04687359 , 0.05240085 , 0.2336074 
0.5 , 0.05 , 0.1274688 , 0.1320968 , 0.04363591 , 0.1237609 , 0.03366831 , 0.06531649 , 0.1977337 
0.5 , 0.05 , 0.1271619 , 0.1355497 , 0.04258452 , 0.1363739 , 0.04290687 , 0.06230279 , 0.2298597 
0.5 , 0.05 , 0.1270141 , 0.1265018 , 0.03506839 , 0.2681397 , 0.05669754 , 0.162675 , 0.3820567 
0.5 , 0.05 , 0.1274133 , 0.128039 , 0.03779661 , 0.1072447 , 0.03274039 , 0.05160184 , 0.1781555 
0.5 , 0.05 , 0.1269322 , 0.136446 , 0.04391152 , 0.1903977 , 0.04328682 , 0.1086491 , 0.2751242 
0.5 , 0.05 , 0.1272598 , 0.1275634 , 0.03768859 , 0.199862 , 0.04853829 , 0.1119688 , 0.3026029 

0.6 , 0.05 , 0.1727861 , 0.1744088 , 0.0440754 , 0.0942642 , 0.03595783 , 0.03513988 , 0.1808181 
0.6 , 0.05 , 0.1731217 , 0.1786279 , 0.04255606 , 0.1588269 , 0.04395834 , 0.08185724 , 0.2564732 
0.6 , 0.05 , 0.1726046 , 0.1779344 , 0.05002552 , 0.1185342 , 0.03328089 , 0.05982104 , 0.194259 
0.6 , 0.05 , 0.17284 , 0.1736057 , 0.04423763 , 0.233715 , 0.05740673 , 0.1263124 , 0.3523021 
0.6 , 0.05 , 0.1727775 , 0.1830549 , 0.0438999 , 0.1021831 , 0.036331 , 0.03788906 , 0.1771141 
0.6 , 0.05 , 0.1722093 , 0.1754957 , 0.04159682 , 0.1884806 , 0.04942297 , 0.1029858 , 0.2903884 
0.6 , 0.05 , 0.1726 , 0.1718744 , 0.04511197 , 0.2074333 , 0.04659606 , 0.1217534 , 0.3032867 
0.6 , 0.05 , 0.1727233 , 0.172872 , 0.04271624 , 0.1001617 , 0.03620565 , 0.03786658 , 0.1784074 
0.6 , 0.05 , 0.1737098 , 0.1854997 , 0.04985067 , 0.195657 , 0.05212745 , 0.1040263 , 0.3061378 
0.6 , 0.05 , 0.1725274 , 0.177935 , 0.04182056 , 0.1440135 , 0.0387796 , 0.07322507 , 0.2330529 

0.7 , 0.05 , 0.2209008 , 0.2211062 , 0.04621596 , 0.157816 , 0.04136194 , 0.08418488 , 0.2497825 
0.7 , 0.05 , 0.2198893 , 0.2249148 , 0.05970701 , 0.2023267 , 0.04391572 , 0.1263691 , 0.2936751 
0.7 , 0.05 , 0.2192964 , 0.2206543 , 0.05092114 , 0.2344852 , 0.04986898 , 0.1467514 , 0.3438994 
0.7 , 0.05 , 0.2191893 , 0.2259201 , 0.05013151 , 0.3245997 , 0.05591824 , 0.2182871 , 0.4345168 
0.7 , 0.05 , 0.2208242 , 0.2193904 , 0.04823551 , 0.2457552 , 0.05573369 , 0.1435398 , 0.3564773 
0.7 , 0.05 , 0.2198436 , 0.2247077 , 0.05195338 , 0.2992875 , 0.06105638 , 0.1788804 , 0.4141877 
0.7 , 0.05 , 0.219844 , 0.2312468 , 0.05322632 , 0.2152601 , 0.04941342 , 0.1276145 , 0.3212495 
0.7 , 0.05 , 0.2198028 , 0.222711 , 0.05323124 , 0.2165574 , 0.04682793 , 0.1355523 , 0.3077742 
0.7 , 0.05 , 0.2203585 , 0.2163097 , 0.04987041 , 0.1820383 , 0.04265843 , 0.1065182 , 0.2725417 
0.7 , 0.05 , 0.2199989 , 0.2233183 , 0.04495321 , 0.1265097 , 0.03543642 , 0.06484341 , 0.2020152 

0.8 , 0.05 , 0.2659597 , 0.262069 , 0.06037219 , 0.1840921 , 0.04037399 , 0.1109241 , 0.2711922 
0.8 , 0.05 , 0.2658431 , 0.2780996 , 0.05165242 , 0.2768185 , 0.05230926 , 0.179914 , 0.3810813 
0.8 , 0.05 , 0.2659084 , 0.2714139 , 0.0505849 , 0.2700577 , 0.05827716 , 0.158436 , 0.3836218 
0.8 , 0.05 , 0.2660623 , 0.2734007 , 0.05779277 , 0.2677736 , 0.05310673 , 0.1677028 , 0.3711014 
0.8 , 0.05 , 0.2654911 , 0.2589545 , 0.05329928 , 0.2950722 , 0.05734444 , 0.190932 , 0.4202935 
0.8 , 0.05 , 0.2652514 , 0.2683725 , 0.0527572 , 0.2198669 , 0.04614094 , 0.1347451 , 0.3121045 
0.8 , 0.05 , 0.2648 , 0.2631486 , 0.05705078 , 0.2918069 , 0.04761502 , 0.2068908 , 0.3893451 
0.8 , 0.05 , 0.2649516 , 0.2756861 , 0.05295723 , 0.3279928 , 0.0622242 , 0.2129724 , 0.4493131 
0.8 , 0.05 , 0.2660354 , 0.2748818 , 0.05435612 , 0.2571514 , 0.05267899 , 0.1589375 , 0.3669132 
0.8 , 0.05 , 0.2655784 , 0.263028 , 0.0564478 , 0.2297996 , 0.051851 , 0.1354719 , 0.3380915 

0.9 , 0.05 , 0.3078465 , 0.3111706 , 0.06245637 , 0.303808 , 0.0541664 , 0.2069268 , 0.4137725 
0.9 , 0.05 , 0.3085651 , 0.3228827 , 0.05738488 , 0.3375992 , 0.05610102 , 0.226228 , 0.4471604 
0.9 , 0.05 , 0.3077351 , 0.3114585 , 0.05474474 , 0.1870034 , 0.04114701 , 0.1092895 , 0.2731599 
0.9 , 0.05 , 0.3078598 , 0.3089894 , 0.05390639 , 0.40046 , 0.05803702 , 0.2856814 , 0.5133867 
0.9 , 0.05 , 0.3074202 , 0.3091632 , 0.06405582 , 0.2147107 , 0.04576992 , 0.1294339 , 0.3113534 
0.9 , 0.05 , 0.3079065 , 0.3065448 , 0.05645849 , 0.3837411 , 0.06094131 , 0.2721083 , 0.5046034 
0.9 , 0.05 , 0.3074614 , 0.3163446 , 0.05983189 , 0.2912855 , 0.05565497 , 0.1849078 , 0.3993428 
0.9 , 0.05 , 0.3075931 , 0.2981779 , 0.05186963 , 0.3703953 , 0.05264292 , 0.2706353 , 0.4756359 
0.9 , 0.05 , 0.3073362 , 0.3042676 , 0.05408791 , 0.3578469 , 0.05988538 , 0.2461846 , 0.4814796 
0.9 , 0.05 , 0.3078966 , 0.3042633 , 0.05237724 , 0.3293821 , 0.057795 , 0.2177377 , 0.4473739 

1 , 0.05 , 0.3467319 , 0.336896 , 0.05066536 , 0.3062228 , 0.05078048 , 0.2083399 , 0.4077755 
1 , 0.05 , 0.3462659 , 0.3449143 , 0.06594328 , 0.446603 , 0.06490103 , 0.3242465 , 0.572753 
1 , 0.05 , 0.3446915 , 0.3347988 , 0.05559049 , 0.3399747 , 0.05747138 , 0.2296108 , 0.4581559 
1 , 0.05 , 0.3450515 , 0.3429242 , 0.05792239 , 0.3388103 , 0.05734404 , 0.228008 , 0.4466935 
1 , 0.05 , 0.3456208 , 0.349829 , 0.06313412 , 0.3216792 , 0.06452763 , 0.1959905 , 0.4527819 
1 , 0.05 , 0.3458489 , 0.3524785 , 0.05852581 , 0.4341339 , 0.06549047 , 0.3060834 , 0.5573148 
1 , 0.05 , 0.3450613 , 0.34427 , 0.06168425 , 0.3808141 , 0.05965847 , 0.2706981 , 0.5010634 
1 , 0.05 , 0.3443554 , 0.3465758 , 0.05654505 , 0.3526187 , 0.0613674 , 0.2366523 , 0.4755305 
1 , 0.05 , 0.3452627 , 0.3545857 , 0.05614691 , 0.2560405 , 0.04989068 , 0.1644205 , 0.3581673 
1 , 0.05 , 0.3455085 , 0.3482489 , 0.05571263 , 0.4541805 , 0.06170942 , 0.3323465 , 0.5774763 



