#param, sd.noise, mean.vp.estimate, sd.vp.estimate, relative.uncertainty, bias 
1000 , 0.1 , 20.04248 , 1.853591 , 9.24831 , -0.3048251 
1000 , 0.1 , 20.27978 , 2.009587 , 9.909315 , -0.1140859 
1000 , 0.1 , 19.76246 , 1.637992 , 8.288401 , -0.5419088 
1000 , 0.1 , 20.26477 , 2.14495 , 10.58462 , -0.1420739 
1000 , 0.1 , 20.67508 , 1.593988 , 7.709709 , 0.3427568 
1000 , 0.1 , 20.35144 , 2.132996 , 10.48082 , -0.004774504 
1000 , 0.1 , 19.92841 , 2.026341 , 10.1681 , -0.2598387 
1000 , 0.1 , 20.57842 , 1.902222 , 9.243769 , 0.251991 
1000 , 0.1 , 20.56901 , 2.076908 , 10.09727 , 0.2250486 
1000 , 0.1 , 20.26244 , 1.95168 , 9.632008 , 0.001722539 
