#param, sd.noise, populationlevel.r2, mean.r2.resampling, sd.r2.resampling, bs.r2, bs.sd, bs.lower, bs.upper
0.4 , 0.05 , 0.344775 , 0.1689607 , 0.03949848 , 0.1366592 , 0.03194129 , 0.07607416 , 0.2023313 
0.4 , 0.05 , 0.3458668 , 0.1641243 , 0.04357391 , 0.177643 , 0.04781166 , 0.09406036 , 0.2752865 
0.4 , 0.05 , 0.3456979 , 0.1653627 , 0.04868121 , 0.1237742 , 0.03650941 , 0.05776123 , 0.1984962 

0.5 , 0.05 , 0.3450287 , 0.116733 , 0.04706555 , 0.1457353 , 0.03926536 , 0.07156619 , 0.2291489 
0.5 , 0.05 , 0.3449408 , 0.1291768 , 0.03980751 , 0.1172851 , 0.04172307 , 0.05018993 , 0.2140419 
0.5 , 0.05 , 0.3453161 , 0.1192148 , 0.04485018 , 0.08309307 , 0.03174967 , 0.02740562 , 0.1568357 
0.5 , 0.05 , 0.3447769 , 0.1199347 , 0.03916771 , 0.1684775 , 0.04090555 , 0.09423498 , 0.2493462 
0.5 , 0.05 , 0.3470643 , 0.1208754 , 0.04047741 , 0.1670443 , 0.05133447 , 0.07930191 , 0.2739143 
0.5 , 0.05 , 0.3452741 , 0.1251692 , 0.04410751 , 0.1611902 , 0.04645936 , 0.08119121 , 0.2589855 
0.5 , 0.05 , 0.3460109 , 0.1163768 , 0.04330128 , 0.1662345 , 0.04659805 , 0.08222871 , 0.2653376 
0.5 , 0.05 , 0.3440504 , 0.1182009 , 0.03823416 , 0.06301367 , 0.03353835 , 0.01232756 , 0.1357394 
0.5 , 0.05 , 0.3450599 , 0.1220928 , 0.04249966 , 0.0960697 , 0.04262488 , 0.0290113 , 0.1988217 
0.5 , 0.05 , 0.3448088 , 0.1224492 , 0.03724939 , 0.1272391 , 0.04446667 , 0.05070401 , 0.2232183 

0.6 , 0.05 , 0.3445822 , 0.0838813 , 0.03714834 , 0.08981258 , 0.03613937 , 0.03266403 , 0.167091 
0.6 , 0.05 , 0.3445448 , 0.07773665 , 0.03463704 , 0.1788103 , 0.04919043 , 0.08916513 , 0.2780902 
0.6 , 0.05 , 0.3459266 , 0.08297352 , 0.03528249 , 0.2217734 , 0.06219347 , 0.1153518 , 0.346305 
0.6 , 0.05 , 0.3449211 , 0.0787808 , 0.03118638 , 0.04197593 , 0.02658457 , 0.00379791 , 0.100601 
0.6 , 0.05 , 0.3452044 , 0.08825915 , 0.03483438 , 0.08091034 , 0.03681305 , 0.02040127 , 0.1605016 
0.6 , 0.05 , 0.3462482 , 0.07937908 , 0.03406898 , 0.0846815 , 0.0353198 , 0.02551144 , 0.1614948 
0.6 , 0.05 , 0.3450916 , 0.07884111 , 0.03372107 , 0.09737959 , 0.03556671 , 0.03470232 , 0.1731937 
0.6 , 0.05 , 0.3448622 , 0.08607137 , 0.0330967 , 0.06874347 , 0.03097901 , 0.02214017 , 0.1431841 
0.6 , 0.05 , 0.3459843 , 0.07690263 , 0.03240815 , 0.06042676 , 0.03110088 , 0.0124829 , 0.1277687 
