#param, sd.noise, populationlevel.r2, mean.r2.resampling, sd.r2.resampling, bs.r2, bs.sd, bs.lower, bs.upper 
100 , 0.05 , 0.3457924 , 0.3412671 , 0.05920228 , 0.2830304 , 0.0522791 , 0.1836281 , 0.3948832 
100 , 0.05 , 0.3449036 , 0.3492242 , 0.06262263 , 0.4840638 , 0.06941556 , 0.3545263 , 0.6165378 

250 , 0.05 , 0.3441693 , 0.347232 , 0.03853196 , 0.3654609 , 0.03912229 , 0.2921597 , 0.4390672 
250 , 0.05 , 0.3457014 , 0.3483068 , 0.04339606 , 0.4538415 , 0.04032968 , 0.3752632 , 0.529326 
250 , 0.05 , 0.3450272 , 0.3465475 , 0.03537709 , 0.3723034 , 0.03845742 , 0.3014337 , 0.4475625 
250 , 0.05 , 0.3464985 , 0.3456613 , 0.03683601 , 0.319585 , 0.03749074 , 0.2477129 , 0.3923879 
250 , 0.05 , 0.3454293 , 0.3490029 , 0.03852755 , 0.3411202 , 0.03660787 , 0.2743883 , 0.4181604 
250 , 0.05 , 0.3458085 , 0.3462258 , 0.03898738 , 0.2909923 , 0.03330384 , 0.2311268 , 0.3593289 
250 , 0.05 , 0.3459366 , 0.3404349 , 0.03433218 , 0.3534668 , 0.03883656 , 0.2814594 , 0.4302228 
250 , 0.05 , 0.3453347 , 0.3430827 , 0.04443998 , 0.2861996 , 0.03475849 , 0.2191259 , 0.351262 
250 , 0.05 , 0.3462027 , 0.343685 , 0.04507675 , 0.2870996 , 0.03647142 , 0.2158339 , 0.3570225 
250 , 0.05 , 0.3451187 , 0.3443629 , 0.03356736 , 0.3618289 , 0.03855551 , 0.2890304 , 0.4360649 

500 , 0.05 , 0.3455635 , 0.3463242 , 0.02862101 , 0.3814906 , 0.02633417 , 0.3317179 , 0.4309425 
500 , 0.05 , 0.3453955 , 0.3482916 , 0.02381367 , 0.3727111 , 0.02840262 , 0.3181583 , 0.4307394 
500 , 0.05 , 0.3458673 , 0.350562 , 0.02563392 , 0.3466566 , 0.02578459 , 0.2968451 , 0.398576 
500 , 0.05 , 0.3452938 , 0.347013 , 0.02866522 , 0.3300843 , 0.02634262 , 0.2797019 , 0.3811061 
500 , 0.05 , 0.3454929 , 0.3467551 , 0.02397273 , 0.3459896 , 0.02665255 , 0.2937614 , 0.3976926 
