#param, sd.noise, mean.vp.estimate, sd.vp.estimate, relative.uncertainty, bias 
0.8 , 0.1 , 1.743929 , 2.451698 , 140.5848 , -18.5463 
0.8 , 0.1 , 1.666583 , 2.111287 , 126.6835 , -18.70637 
0.8 , 0.1 , 1.559458 , 1.588731 , 101.8772 , -18.75375 
0.8 , 0.1 , 1.492389 , 1.810381 , 121.3076 , -18.88505 
0.8 , 0.1 , 1.566313 , 1.750237 , 111.7425 , -18.74787 
0.8 , 0.1 , 1.385075 , 1.731539 , 125.0141 , -19.01325 
0.8 , 0.1 , 1.23213 , 1.45912 , 118.4226 , -19.13497 
0.8 , 0.1 , 1.526581 , 1.783272 , 116.8148 , -18.82111 
0.8 , 0.1 , 1.433924 , 1.655853 , 115.4771 , -19.10505 
0.8 , 0.1 , 1.482508 , 1.631176 , 110.0281 , -18.87229 
0.9 , 0.1 , 1.079582 , 1.527554 , 141.495 , -19.29517 
0.9 , 0.1 , 0.7663642 , 1.296499 , 169.1753 , -19.6096 
0.9 , 0.1 , 0.9734622 , 1.179492 , 121.1646 , -19.38524 
0.9 , 0.1 , 1.140637 , 1.553446 , 136.191 , -19.28631 
0.9 , 0.1 , 0.9421016 , 1.115439 , 118.399 , -19.26161 
0.9 , 0.1 , 0.624567 , 1.037879 , 166.1758 , -19.80769 
0.9 , 0.1 , 0.8744073 , 1.473765 , 168.5444 , -19.50877 
0.9 , 0.1 , 0.7789324 , 0.965551 , 123.9583 , -19.54801 
0.9 , 0.1 , 1.049655 , 1.564566 , 149.0553 , -19.18251 
0.9 , 0.1 , 0.9902601 , 1.214086 , 122.6027 , -19.3464 

