#param, sd.noise, mean.vp.estimate, sd.vp.estimate, relative.uncertainty, bias 
0.8 , 0.05 , 26.6501 , 5.392779 , 20.23549 , 0.07929197 
0.8 , 0.05 , 27.50778 , 5.171449 , 18.79995 , 0.9147058 
0.8 , 0.05 , 26.78542 , 5.390514 , 20.12481 , 0.2403338 
0.8 , 0.05 , 26.14547 , 5.336714 , 20.41162 , -0.4139104 
0.8 , 0.05 , 25.71963 , 5.670968 , 22.04918 , -0.8367422 
0.8 , 0.05 , 26.6516 , 5.450367 , 20.45043 , 0.1365182 
0.8 , 0.05 , 27.09537 , 4.914999 , 18.13963 , 0.5574103 
0.8 , 0.05 , 26.18126 , 5.487335 , 20.95902 , -0.4419879 
0.8 , 0.05 , 26.15259 , 5.280355 , 20.19057 , -0.4696696 
0.8 , 0.05 , 26.50626 , 5.308494 , 20.02732 , -0.108172 
0.9 , 0.05 , 30.8439 , 5.493847 , 17.81178 , 0.04643961 
0.9 , 0.05 , 30.91257 , 5.885 , 19.03756 , 0.08883959 
0.9 , 0.05 , 31.01768 , 5.43205 , 17.51275 , 0.3156153 
0.9 , 0.05 , 31.00729 , 5.486543 , 17.69436 , 0.2818221 
0.9 , 0.05 , 30.41321 , 5.539224 , 18.21322 , -0.4584315 
0.9 , 0.05 , 30.3883 , 5.746288 , 18.90954 , -0.3623806 
0.9 , 0.05 , 30.87928 , 5.861148 , 18.98085 , 0.04345702 
0.9 , 0.05 , 30.85068 , 6.386496 , 20.70131 , 0.09472421 
0.9 , 0.05 , 30.01707 , 5.442874 , 18.13259 , -0.7216601 
0.9 , 0.05 , 31.19851 , 5.455017 , 17.48486 , 0.3965323 
1 , 0.05 , 34.87028 , 5.93962 , 17.03347 , 0.2176823 
1 , 0.05 , 34.68901 , 5.229188 , 15.07448 , 0.02373024 
1 , 0.05 , 35.07075 , 6.02298 , 17.1738 , 0.52569 
1 , 0.05 , 35.56301 , 5.215788 , 14.66633 , 1.141837 
1 , 0.05 , 35.57242 , 5.958511 , 16.75037 , 1.158144 
1 , 0.05 , 35.21981 , 5.779926 , 16.41101 , 0.7047908 
1 , 0.05 , 34.22517 , 6.56494 , 19.18161 , -0.3052962 
1 , 0.05 , 34.30432 , 6.042781 , 17.61522 , -0.2592959 
1 , 0.05 , 34.93006 , 5.517966 , 15.79718 , 0.3157707 
1 , 0.05 , 34.17442 , 5.657166 , 16.5538 , -0.3923478 
0 , 0.1 , 0.6798273 , 0.802361 , 118.0242 , 0.6798076 
0 , 0.1 , 0.6948915 , 0.9024488 , 129.869 , 0.6948915 
0 , 0.1 , 0.7028201 , 1.035937 , 147.3972 , 0.7028107 
0 , 0.1 , 0.8268303 , 1.150549 , 139.1518 , 0.8266995 
0 , 0.1 , 0.6620133 , 1.065963 , 161.0183 , 0.6619927 
0 , 0.1 , 0.7229473 , 1.021409 , 141.284 , 0.7229425 
0 , 0.1 , 0.69897 , 0.929387 , 132.9652 , 0.698952 
0 , 0.1 , 0.501685 , 0.6520346 , 129.9689 , 0.5016092 
0 , 0.1 , 0.692727 , 0.8426623 , 121.6442 , 0.6927258 
0 , 0.1 , 0.8684433 , 1.251155 , 144.0687 , 0.8684192 
0.1 , 0.1 , 1.433136 , 1.844887 , 128.7307 , 1.216039 
0.1 , 0.1 , 1.050232 , 1.229681 , 117.0866 , 0.8275521 
0.1 , 0.1 , 1.067126 , 1.590517 , 149.0468 , 0.842126 
0.1 , 0.1 , 0.9836839 , 1.621784 , 164.8684 , 0.7717076 
0.1 , 0.1 , 0.8200309 , 1.163217 , 141.8504 , 0.6011046 
0.1 , 0.1 , 0.8066393 , 1.125067 , 139.4759 , 0.5864217 
0.1 , 0.1 , 1.102791 , 1.583302 , 143.5722 , 0.87353 
0.1 , 0.1 , 0.802943 , 1.021852 , 127.2634 , 0.5911618 
0.1 , 0.1 , 0.9988407 , 1.352032 , 135.3601 , 0.7581818 
0.1 , 0.1 , 0.8244434 , 1.246312 , 151.1701 , 0.5926734 
0.2 , 0.1 , 1.340973 , 1.314413 , 98.0193 , 0.3550309 
0.2 , 0.1 , 1.774293 , 1.830076 , 103.144 , 0.8052743 
0.2 , 0.1 , 1.295014 , 1.388061 , 107.185 , 0.3458533 
0.2 , 0.1 , 1.666846 , 2.535203 , 152.0958 , 0.6883249 
0.2 , 0.1 , 1.278283 , 1.395167 , 109.1438 , 0.2921265 
0.2 , 0.1 , 1.69573 , 1.751634 , 103.2967 , 0.7138811 
0.2 , 0.1 , 1.638793 , 2.188387 , 133.5365 , 0.686564 
0.2 , 0.1 , 1.59604 , 1.674001 , 104.8847 , 0.6221772 
0.2 , 0.1 , 1.998456 , 1.972872 , 98.71981 , 1.006639 
0.2 , 0.1 , 1.397257 , 1.65192 , 118.2259 , 0.4297869 
0.3 , 0.1 , 3.381872 , 2.890953 , 85.4838 , 1.070284 
0.3 , 0.1 , 3.002246 , 2.934843 , 97.75494 , 0.7052664 
0.3 , 0.1 , 2.790322 , 2.445378 , 87.63781 , 0.459956 
0.3 , 0.1 , 3.207113 , 2.691521 , 83.92349 , 0.9469237 
0.3 , 0.1 , 3.139089 , 2.401078 , 76.48962 , 0.83625 
0.3 , 0.1 , 3.35823 , 2.68633 , 79.99242 , 1.061195 
0.3 , 0.1 , 2.452006 , 2.565417 , 104.6252 , 0.1316726 
0.3 , 0.1 , 3.03653 , 2.7691 , 91.19291 , 0.7238035 
0.3 , 0.1 , 2.582371 , 1.980024 , 76.67466 , 0.2925971 
0.3 , 0.1 , 2.941607 , 2.716048 , 92.33212 , 0.6195055 
